functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,PBE band gap,μ,μĀ,μ𝐵 ̅,t
LuRbTaInO6,Lu,3,Rb,1,0.21,-2.03,60.25,463.25,0.48,-1.22,0.23,1.05,0.36,3.74,11.93,34.97,Ta,5,In,0.57,0.57,-3.08,101.50,659.80,1.53,-2.02,0.14,1.64,0.37,2.42,3.02,34.02,2.42,0.51,0.18,0.06,0.954
LuRbTaScO6,Lu,3,Rb,1,0.21,-2.03,60.25,463.25,0.48,-1.22,0.23,1.05,0.36,3.74,11.93,34.97,Ta,5,Sc,0.18,0.18,-3.47,65.15,696.15,0.18,-3.37,0.07,1.43,0.02,2.77,6.45,24.55,2.70,0.49,0.18,0.04,0.967
LuRbTaTiO6,Lu,3,Rb,1,0.21,-2.03,60.25,463.25,0.48,-1.22,0.23,1.05,0.36,3.74,11.93,34.97,Ta,4,Ti,0.36,0.36,-4.01,51.65,709.65,0.34,-3.89,0.02,1.52,0.10,2.69,11.70,19.30,0.00,0.46,0.18,0.03,0.991
LuRhAl2O6,Lu,3,Rh,3,0.89,-2.70,98.15,621.65,0.83,-2.53,0.50,1.78,0.43,2.95,43.33,66.37,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,0.08,0.38,0.05,0.00,0.974
LuRhO3,Lu,3,Lu,3,0.00,-1.82,0.00,523.50,0.00,-1.70,0.00,1.27,0.00,3.37,0.00,23.04,Rh,3,Rh,0.00,0.00,-3.59,0.00,719.80,0.00,-3.37,0.00,2.28,0.00,2.52,0.00,109.70,0.00,0.48,0.00,0.00,0.891
LuRuO3,Lu,3,Lu,3,0.00,-1.82,0.00,523.50,0.00,-1.70,0.00,1.27,0.00,3.37,0.00,23.04,Ru,3,Ru,0.00,0.00,-3.58,0.00,711.10,0.00,-0.60,0.00,2.20,0.00,2.61,0.00,101.00,0.00,0.49,0.00,0.00,0.885
LuSbO3,Lu,3,Lu,3,0.00,-1.82,0.00,523.50,0.00,-1.70,0.00,1.27,0.00,3.37,0.00,23.04,Sb,3,Sb,0.00,0.00,-4.83,0.00,833.70,0.00,-0.56,0.00,2.05,0.00,1.77,0.00,101.00,0.00,0.54,0.00,0.00,0.852
LuScAl2O6,Lu,3,Sc,3,0.74,-2.55,53.75,577.25,0.74,-2.44,0.05,1.32,0.31,3.06,2.47,20.57,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,1.76,0.38,0.03,0.00,0.936
LuScCr2O6,Lu,3,Sc,3,0.74,-2.55,53.75,577.25,0.74,-2.44,0.05,1.32,0.31,3.06,2.47,20.57,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.03,0.00,0.899
LuSmAl2O6,Lu,3,Sm,3,0.49,-2.31,9.85,533.35,0.50,-2.20,0.05,1.22,0.38,3.76,3.70,19.34,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,3.01,0.38,0.01,0.00,0.958
LuSmGa2O6,Lu,3,Sm,3,0.49,-2.31,9.85,533.35,0.50,-2.20,0.05,1.22,0.38,3.76,3.70,19.34,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,2.91,0.44,0.01,0.00,0.918
LuSrTaPtO6,Lu,3,Sr,2,0.86,-2.67,13.00,536.50,0.21,-1.49,0.16,1.11,0.08,3.29,9.01,14.03,Ta,5,Pt,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.00,0.51,0.08,0.06,0.908
LuSrWGaO6,Lu,3,Sr,2,0.86,-2.67,13.00,536.50,0.21,-1.49,0.16,1.11,0.08,3.29,9.01,14.03,W,4,Ga,0.96,0.96,-3.54,95.60,674.40,1.96,-2.45,0.27,2.09,0.52,2.22,24.30,54.30,0.00,0.46,0.08,0.01,0.943
LuSrWMgO6,Lu,3,Sr,2,0.86,-2.67,13.00,536.50,0.21,-1.49,0.16,1.11,0.08,3.29,9.01,14.03,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.00,0.48,0.08,0.04,0.930
LuTaAl2O6,Lu,3,Ta,3,0.92,-2.74,118.90,642.40,0.92,-2.62,0.11,1.39,0.29,3.08,3.98,27.02,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,0.00,0.38,0.08,0.00,0.995
LuTaO3,Lu,3,Lu,3,0.00,-1.82,0.00,523.50,0.00,-1.70,0.00,1.27,0.00,3.37,0.00,23.04,Ta,3,Ta,0.00,0.00,-3.65,0.00,761.30,0.00,-3.55,0.00,1.50,0.00,2.79,0.00,31.00,0.02,0.51,0.00,0.00,0.868
LuTbAl2O6,Lu,3,Tb,3,0.33,-2.15,20.45,543.95,0.34,-2.04,0.08,1.19,0.26,3.63,5.19,17.86,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,3.03,0.38,0.02,0.00,0.963
LuTbBCrO6,Lu,3,Tb,3,0.33,-2.15,20.45,543.95,0.34,-2.04,0.08,1.19,0.26,3.63,5.19,17.86,B,3,Cr,0.41,0.41,-4.01,73.90,726.70,2.03,-2.33,0.19,1.85,0.82,1.62,18.80,45.50,0.87,0.32,0.02,0.12,1.011
LuTbBMoO6,Lu,3,Tb,3,0.33,-2.15,20.45,543.95,0.34,-2.04,0.08,1.19,0.26,3.63,5.19,17.86,B,3,Mo,0.31,0.31,-3.92,57.85,742.75,1.89,-2.19,0.06,2.10,0.96,1.76,22.65,49.35,0.00,0.34,0.02,0.15,0.991
LuTbBVO6,Lu,3,Tb,3,0.33,-2.15,20.45,543.95,0.34,-2.04,0.08,1.19,0.26,3.63,5.19,17.86,B,3,V,0.43,0.43,-4.04,75.15,725.45,2.03,-2.33,0.21,1.84,0.82,1.61,12.00,38.70,0.00,0.33,0.02,0.13,1.004
LuTbGa2O6,Lu,3,Tb,3,0.33,-2.15,20.45,543.95,0.34,-2.04,0.08,1.19,0.26,3.63,5.19,17.86,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,2.93,0.44,0.02,0.00,0.922
LuTlAl2O6,Lu,3,Tl,3,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,0.00,0.38,0.00,0.00,0.952
LuTlAuTiO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.18,0.04,0.998
LuTlCrTmO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Cr,5,Tm,1.19,1.19,-3.23,28.25,624.55,1.22,-3.14,0.20,1.46,0.58,3.02,17.35,81.65,0.00,0.49,0.18,0.14,0.967
LuTlGa2O6,Lu,3,Tl,3,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,0.02,0.44,0.00,0.00,0.912
LuTlNbInO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Nb,5,In,1.05,1.05,-3.57,52.75,611.05,2.01,-2.50,0.09,1.69,0.36,2.41,24.58,61.62,1.73,0.51,0.18,0.06,0.951
LuTlPtTaO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Pt,5,Ta,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.00,0.46,0.18,0.05,0.986
LuTlTaAuO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Ta,5,Au,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.10,0.53,0.18,0.08,0.940
LuTlVTmO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,V,5,Tm,1.21,1.21,-3.26,27.00,623.30,1.22,-3.14,0.19,1.44,0.59,3.02,24.15,74.85,0.72,0.51,0.18,0.12,0.956
LuTlWAlO6,Lu,3,Tl,1,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,W,5,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,0.00,0.41,0.18,0.03,1.020
LuTmAl2O6,Lu,3,Tm,3,0.11,-1.93,36.40,559.90,0.11,-1.81,0.01,1.26,0.11,3.49,37.98,61.02,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,3.09,0.38,0.01,0.00,0.955
LuTmGa2O6,Lu,3,Tm,3,0.11,-1.93,36.40,559.90,0.11,-1.81,0.01,1.26,0.11,3.49,37.98,61.02,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,2.99,0.44,0.01,0.00,0.915
LuTmHfCoO6,Lu,3,Tm,2,0.11,-1.93,36.40,559.90,0.11,-1.81,0.01,1.26,0.11,3.49,37.98,61.02,Hf,4,Co,0.83,0.83,-3.61,41.50,716.90,0.97,-1.81,0.29,1.59,0.45,2.47,23.40,40.40,0.00,0.47,0.07,0.04,0.926
LuTmO3,Lu,3,Lu,3,0.00,-1.82,0.00,523.50,0.00,-1.70,0.00,1.27,0.00,3.37,0.00,23.04,Tm,3,Tm,0.00,0.00,-2.04,0.00,596.30,0.00,-1.92,0.00,1.25,0.00,3.60,0.00,99.00,0.87,0.63,0.00,0.00,0.807
LuTmTaGaO6,Lu,3,Tm,2,0.11,-1.93,36.40,559.90,0.11,-1.81,0.01,1.26,0.11,3.49,37.98,61.02,Ta,4,Ga,0.54,0.54,-3.11,91.25,670.05,1.53,-2.02,0.16,1.66,0.55,2.24,0.50,30.50,0.00,0.46,0.07,0.02,0.930
LuTmWMgO6,Lu,3,Tm,2,0.11,-1.93,36.40,559.90,0.11,-1.81,0.01,1.26,0.11,3.49,37.98,61.02,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.00,0.48,0.07,0.04,0.921
LuTmZrAlO6,Lu,3,Tm,2,0.11,-1.93,36.40,559.90,0.11,-1.81,0.01,1.26,0.11,3.49,37.98,61.02,Zr,4,Al,0.48,0.48,-3.19,41.20,618.80,1.53,-1.98,0.14,1.47,0.58,2.25,1.45,42.55,0.00,0.45,0.07,0.07,0.940
LuVAl2O6,Lu,3,V,3,1.33,-3.14,63.40,586.90,1.33,-3.03,0.18,1.45,0.47,2.90,13.83,36.87,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,0.00,0.38,0.03,0.00,0.965
LuVB2O6,Lu,3,V,3,1.33,-3.14,63.40,586.90,1.33,-3.03,0.18,1.45,0.47,2.90,13.83,36.87,B,3,B,0.00,0.00,-3.61,0.00,800.60,0.00,-0.30,0.00,2.04,0.00,0.80,0.00,26.70,0.00,0.19,0.03,0.00,1.118
LuVEr2O6,Lu,3,V,3,1.33,-3.14,63.40,586.90,1.33,-3.03,0.18,1.45,0.47,2.90,13.83,36.87,Er,3,Er,0.00,0.00,-2.15,0.00,588.60,0.00,-2.15,0.00,1.24,0.00,3.63,0.00,30.10,0.00,0.64,0.03,0.00,0.816
LuVHo2O6,Lu,3,V,3,1.33,-3.14,63.40,586.90,1.33,-3.03,0.18,1.45,0.47,2.90,13.83,36.87,Ho,3,Ho,0.00,0.00,-2.26,0.00,580.80,0.00,-2.25,0.00,1.23,0.00,3.65,0.00,32.61,0.00,0.64,0.03,0.00,0.812
LuVO3,Lu,3,Lu,3,0.00,-1.82,0.00,523.50,0.00,-1.70,0.00,1.27,0.00,3.37,0.00,23.04,V,3,V,0.00,0.00,-4.47,0.00,650.30,0.00,-4.36,0.00,1.63,0.00,2.43,0.00,50.70,0.00,0.46,0.00,0.00,0.902
LuYAl2O6,Lu,3,Y,3,0.37,-2.19,46.05,569.55,0.37,-2.07,0.03,1.25,0.22,3.16,3.28,26.32,Al,3,Al,0.00,0.00,-2.71,0.00,577.60,0.00,-0.44,0.00,1.61,0.00,1.68,0.00,44.00,2.96,0.38,0.02,0.00,0.960
LuYbCoTmO6,Lu,3,Yb,2,0.61,-2.42,39.95,563.45,0.30,-1.40,0.08,1.19,0.11,3.48,12.49,10.56,Co,4,Tm,1.20,1.20,-3.24,81.05,677.35,0.54,-1.38,0.31,1.57,0.79,2.81,17.60,81.40,0.00,0.50,0.06,0.13,0.904
LuYbGa2O6,Lu,3,Yb,3,0.61,-2.42,39.95,563.45,0.30,-1.40,0.08,1.19,0.11,3.48,12.49,10.56,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,0.00,0.44,0.00,0.00,0.913
LuYbHfCoO6,Lu,3,Yb,2,0.61,-2.42,39.95,563.45,0.30,-1.40,0.08,1.19,0.11,3.48,12.49,10.56,Hf,4,Co,0.83,0.83,-3.61,41.50,716.90,0.97,-1.81,0.29,1.59,0.45,2.47,23.40,40.40,1.23,0.47,0.06,0.04,0.924
LuYbNbMgO6,Lu,3,Yb,2,0.61,-2.42,39.95,563.45,0.30,-1.40,0.08,1.19,0.11,3.48,12.49,10.56,Nb,5,Mg,0.04,0.04,-4.66,36.95,700.75,1.59,-2.92,0.15,1.46,0.37,2.39,63.10,23.10,3.01,0.49,0.06,0.03,0.915
LuYbWMgO6,Lu,3,Yb,2,0.61,-2.42,39.95,563.45,0.30,-1.40,0.08,1.19,0.11,3.48,12.49,10.56,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.00,0.48,0.06,0.04,0.919
LuYGa2O6,Lu,3,Y,3,0.37,-2.19,46.05,569.55,0.37,-2.07,0.03,1.25,0.22,3.16,3.28,26.32,Ga,3,Ga,0.00,0.00,-2.58,0.00,578.80,0.00,-0.49,0.00,1.81,0.00,1.70,0.00,30.00,2.86,0.44,0.02,0.00,0.919
MgCeO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,Ce,4,Ce,0.00,0.00,0.00,0.00,527.80,0.00,0.00,0.00,1.12,0.00,4.50,0.00,50.00,0.00,0.62,0.00,0.00,0.813
MgCO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,C,4,C,0.00,0.00,-5.28,0.00,1086.40,0.00,-0.30,0.00,2.55,0.00,0.64,0.00,121.90,0.00,0.11,0.00,0.00,1.183
MgCoNi2O6,Mg,2,Co,2,0.14,-4.57,10.35,748.05,0.24,-1.08,0.28,1.60,0.00,2.03,51.90,11.90,Ni,4,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.34,0.03,0.00,0.969
MgCoW2O6,Mg,2,Co,2,0.14,-4.57,10.35,748.05,0.24,-1.08,0.28,1.60,0.00,2.03,51.90,11.90,W,4,W,0.00,0.00,-4.51,0.00,770.00,0.00,-4.41,0.00,2.36,0.00,2.74,0.00,78.60,0.00,0.47,0.03,0.00,0.884
MgCrNi2O6,Mg,2,Cr,2,0.14,-4.56,42.45,695.25,1.51,-2.84,0.17,1.48,0.21,2.24,52.15,12.15,Ni,4,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.34,0.02,0.00,0.972
MgCrW2O6,Mg,2,Cr,2,0.14,-4.56,42.45,695.25,1.51,-2.84,0.17,1.48,0.21,2.24,52.15,12.15,W,4,W,0.00,0.00,-4.51,0.00,770.00,0.00,-4.41,0.00,2.36,0.00,2.74,0.00,78.60,0.00,0.47,0.02,0.00,0.887
MgCsVTbO6,Mg,2,Cs,1,1.30,-3.41,181.00,556.70,0.30,-1.03,0.26,1.05,1.14,3.17,42.75,2.75,V,5,Tb,0.99,0.99,-3.48,42.95,607.35,0.99,-3.37,0.26,1.37,0.73,3.16,19.02,31.69,0.00,0.46,0.24,0.08,1.016
MgCsWDyO6,Mg,2,Cs,1,1.30,-3.41,181.00,556.70,0.30,-1.03,0.26,1.05,1.14,3.17,42.75,2.75,W,6,Dy,1.00,1.00,-3.51,98.90,671.10,1.08,-3.33,0.57,1.79,0.47,3.20,22.32,56.28,0.96,0.54,0.24,0.11,0.966
MgCsWInO6,Mg,2,Cs,1,1.30,-3.41,181.00,556.70,0.30,-1.03,0.26,1.05,1.14,3.17,42.75,2.75,W,6,In,1.00,1.00,-3.51,105.85,664.15,1.96,-2.45,0.29,2.07,0.34,2.39,20.78,57.82,1.25,0.50,0.24,0.07,0.992
MgFeNi2O6,Mg,2,Fe,2,0.14,-4.57,10.80,748.50,0.19,-1.14,0.26,1.57,0.04,2.07,27.85,-12.15,Ni,4,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.34,0.00,0.00,0.980
MgGeO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,Ge,4,Ge,0.00,0.00,-3.89,0.00,762.10,0.00,-0.53,0.00,2.01,0.00,1.56,0.00,116.00,1.02,0.38,0.00,0.00,0.956
MgKWCeO6,Mg,2,K,1,1.19,-3.52,159.45,578.25,0.27,-1.06,0.25,1.07,0.83,2.86,44.20,4.20,W,6,Ce,2.25,2.25,-2.25,121.10,648.90,2.20,-2.20,0.62,1.74,0.88,3.62,14.30,64.30,0.00,0.58,0.15,0.15,0.906
MgKWDyO6,Mg,2,K,1,1.19,-3.52,159.45,578.25,0.27,-1.06,0.25,1.07,0.83,2.86,44.20,4.20,W,6,Dy,1.00,1.00,-3.51,98.90,671.10,1.08,-3.33,0.57,1.79,0.47,3.20,22.32,56.28,1.06,0.54,0.15,0.11,0.927
MgKWInO6,Mg,2,K,1,1.19,-3.52,159.45,578.25,0.27,-1.06,0.25,1.07,0.83,2.86,44.20,4.20,W,6,In,1.00,1.00,-3.51,105.85,664.15,1.96,-2.45,0.29,2.07,0.34,2.39,20.78,57.82,1.39,0.50,0.15,0.07,0.951
MgLiWAlO6,Mg,2,Li,1,0.92,-3.79,108.75,628.95,0.12,-1.21,0.17,1.15,0.21,1.82,49.80,9.80,W,6,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,2.25,0.41,0.01,0.02,0.945
MgSeO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,Se,4,Se,0.00,0.00,-6.51,0.00,940.90,0.00,-0.52,0.00,2.55,0.00,1.29,0.00,195.00,0.00,0.36,0.00,0.00,0.971
MgSiO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,Si,4,Si,0.00,0.00,-4.08,0.00,786.50,0.00,-0.46,0.00,1.90,0.00,1.42,0.00,133.60,2.55,0.29,0.00,0.00,1.025
MgSnO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,Sn,4,Sn,0.00,0.00,-3.69,0.00,708.60,0.00,-0.54,0.00,1.96,0.00,1.88,0.00,107.30,0.83,0.49,0.00,0.00,0.883
MgTiNi2O6,Mg,2,Ti,2,0.17,-4.54,39.85,697.85,1.45,-2.78,0.11,1.43,0.28,2.30,23.80,-16.20,Ni,4,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.34,0.00,0.00,0.984
MgTiO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,Ti,4,Ti,0.00,0.00,-4.37,0.00,658.00,0.00,-4.23,0.00,1.54,0.00,2.58,0.00,7.60,1.60,0.43,0.00,0.00,0.920
MgVNi2O6,Mg,2,V,2,0.12,-4.59,43.70,694.00,1.52,-2.85,0.16,1.47,0.20,2.23,45.35,5.35,Ni,4,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.34,0.02,0.00,0.970
MgVO3,Mg,2,Mg,2,0.00,-4.71,0.00,737.70,0.00,-1.33,0.00,1.31,0.00,2.03,0.00,-40.00,V,4,V,0.00,0.00,-4.47,0.00,650.30,0.00,-4.36,0.00,1.63,0.00,2.43,0.00,50.70,0.03,0.41,0.00,0.00,0.932
MnBaLuAuO6,Mn,6,Ba,2,0.60,-3.84,107.25,610.15,0.48,-1.54,0.33,1.22,0.59,2.81,31.98,-18.03,Lu,3,Au,1.97,1.97,-3.79,183.30,706.80,0.47,-1.23,0.64,1.91,0.36,3.02,99.88,122.92,0.98,0.80,0.30,0.18,0.728
MnCsReAuO6,Mn,4,Cs,1,1.17,-3.28,170.85,546.55,0.17,-0.89,0.38,1.17,1.04,3.26,47.75,-2.25,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.53,0.33,0.08,0.930
MnCsTa2O6,Mn,3,Cs,1,1.17,-3.28,170.85,546.55,0.17,-0.89,0.38,1.17,1.04,3.26,47.75,-2.25,Ta,4,Ta,0.00,0.00,-3.65,0.00,761.30,0.00,-3.55,0.00,1.50,0.00,2.79,0.00,31.00,0.00,0.49,0.30,0.00,0.971
MnCsWDyO6,Mn,2,Cs,1,1.17,-3.28,170.85,546.55,0.17,-0.89,0.38,1.17,1.04,3.26,47.75,-2.25,W,6,Dy,1.00,1.00,-3.51,98.90,671.10,1.08,-3.33,0.57,1.79,0.47,3.20,22.32,56.28,0.58,0.54,0.22,0.11,0.974
MnCsWInO6,Mn,2,Cs,1,1.17,-3.28,170.85,546.55,0.17,-0.89,0.38,1.17,1.04,3.26,47.75,-2.25,W,6,In,1.00,1.00,-3.51,105.85,664.15,1.96,-2.45,0.29,2.07,0.34,2.39,20.78,57.82,0.87,0.50,0.22,0.07,1.000
MnCsWLuO6,Mn,2,Cs,1,1.17,-3.28,170.85,546.55,0.17,-0.89,0.38,1.17,1.04,3.26,47.75,-2.25,W,6,Lu,1.34,1.34,-3.16,123.25,646.75,1.36,-3.05,0.54,1.82,0.32,3.05,27.78,50.82,0.74,0.52,0.22,0.09,0.986
MnGeO3,Mn,2,Mn,2,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Ge,4,Ge,0.00,0.00,-3.89,0.00,762.10,0.00,-0.53,0.00,2.01,0.00,1.56,0.00,116.00,0.64,0.38,0.00,0.00,0.975
MnHgWGaO6,Mn,3,Hg,2,1.19,-5.63,144.80,862.20,0.01,-1.05,0.22,1.78,0.09,2.32,1.00,-49.00,W,4,Ga,0.96,0.96,-3.54,95.60,674.40,1.96,-2.45,0.27,2.09,0.52,2.22,24.30,54.30,0.00,0.46,0.12,0.01,0.904
MnIrO3,Mn,2,Mn,2,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Ir,4,Ir,0.00,0.00,-5.66,0.00,878.00,0.00,-0.96,0.00,2.20,0.00,2.63,0.00,151.00,0.00,0.45,0.00,0.00,0.929
MnKReAuO6,Mn,3,K,1,1.06,-3.39,149.30,568.10,0.13,-0.93,0.37,1.19,0.73,2.96,49.20,-0.80,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.51,0.22,0.10,0.915
MnNaWAlO6,Mn,2,Na,1,0.85,-3.60,110.80,606.60,0.16,-0.90,0.31,1.24,0.21,2.44,51.45,1.45,W,6,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,1.78,0.41,0.05,0.02,0.979
MnNaWSrO6,Mn,3,Na,1,0.85,-3.60,110.80,606.60,0.16,-0.90,0.31,1.24,0.21,2.44,51.45,1.45,W,6,Sr,0.49,0.49,-4.02,110.25,659.75,1.56,-2.85,0.71,1.65,0.24,2.97,36.79,41.81,0.00,0.64,0.13,0.21,0.807
MnOsO3,Mn,2,Mn,2,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Os,4,Os,0.00,0.00,-6.04,0.00,839.40,0.00,-1.22,0.00,2.20,0.00,2.65,0.00,106.00,0.00,0.45,0.00,0.00,0.927
MnPdO3,Mn,2,Mn,2,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Pd,4,Pd,0.00,0.00,-4.02,0.00,804.70,0.00,-3.35,0.00,2.20,0.00,2.45,0.00,53.70,0.00,0.44,0.00,0.00,0.933
MnPtO3,Mn,4,Mn,4,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Pt,2,Pt,0.00,0.00,-5.28,0.00,868.40,0.00,-0.69,0.00,2.28,0.00,2.70,0.00,205.30,0.00,0.57,0.00,0.00,0.755
MnRbReAuO6,Mn,4,Rb,1,1.10,-3.34,157.20,560.20,0.16,-0.90,0.37,1.19,0.94,3.16,48.45,-1.55,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.53,0.28,0.08,0.904
MnReO3,Mn,2,Mn,2,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Re,4,Re,0.00,0.00,-5.38,0.00,760.30,0.00,-5.36,0.00,1.90,0.00,2.68,0.00,5.83,0.00,0.45,0.00,0.00,0.927
MnRhO3,Mn,2,Mn,2,0.00,-4.44,0.00,717.40,0.00,-1.06,0.00,1.55,0.00,2.22,0.00,-50.00,Rh,4,Rh,0.00,0.00,-3.59,0.00,719.80,0.00,-3.37,0.00,2.28,0.00,2.52,0.00,109.70,0.00,0.43,0.00,0.00,0.940
